guid,email
a4436143-36b6-46d1-b383-b1ce50edfb78,u1550779150SRT-2096114154-6899@rci.rogers.com
6e2c98a5-2c7b-4610-98b2-62f37b845fbc,u1550779125SRT-6337522282-8109@rci.rogers.com
f31d0ca4-48c5-4816-84ef-18c0e95b8c3c,u1553183064VSS-6408352359-9280@rci.rogers.com
d55b59b5-f7e1-4316-bafe-6ee1ca44d09e,u1550779565SRT-2618708990-7621@rci.rogers.com
be04c52b-7540-463f-b68d-0406d84ed47f,demo_be04c52b-7540-463f-b68d-0406d84ed47f@demo.com
3b7f3f84-cf82-4861-9260-786ba66d4895,u1553105603SRT-7534061024-3187@rci.rogers.com
e8b0e1c0-c674-4783-82f9-779ffd02488e,u1553022412SRT-6233730517-4591@rci.rogers.com
54a6389b-148b-4673-8935-b3abe3a19277,demo_54a6389b-148b-4673-8935-b3abe3a19277@demo.com
5b4be7db-0ae0-49cf-a998-7c8ee848d169,u1553022364SRT-4068119054-3537@rci.rogers.com
1207c6d9-b391-4dbb-af61-07120a98ce4d,u1550779418SRT-2296228424-5136@rci.rogers.com
dce43216-46d4-48ed-9cad-566f44bb27de,u1553023551SRT-5700080139-5829@rci.rogers.com
57491ce2-590e-4104-bdc8-ae5cecb0b408,bbb@yyy.com
56b8fe62-0f66-44a7-a02c-6cdaded7c4bc,u1553182321SRT-1357829051-3613@rci.rogers.com
2ce65d39-1df1-4e17-9373-3a3112c30089,u1553278206SRT-2785748454-9840@rci.rogers.com
c0b90286-574f-4df3-8470-81c929f719d0,u1550778643SRT-3068770246-7068@rci.rogers.com
0bde66a0-af66-4828-ad07-798f88854174,u1553024552SRT-6465674401-3929@rci.rogers.com
d5ad162a-f1b2-4543-b19b-d3a35397d19a,u1553104385SRT-3897329378-7843@rci.rogers.com
363f8ba7-3e88-47b6-902b-35a68c93d6a2,u1553089892SRT-1329632161-4843@rci.rogers.com
a3a85f46-4bab-456b-8977-33ffe7258592,u1550779415SRT-6264918271-7907@rci.rogers.com
e7c03da0-be1c-4131-9756-2f0ffa54f47a,u1553543203SRT-3893420004-6308@rci.rogers.com
abf88560-77b9-4e2d-a33b-f2d7735cd385,aaaa@yyy.com
536fe929-024a-41bf-a363-94c370f2a89c,u1550779591SRT-2713058808-7196@rci.rogers.com
86acd6bb-60c9-475f-b5eb-3d1c3231d05e,mmm@ggg.com
d2dc91c1-2d38-4415-b135-c8484c954617,u1553105553SRT-9686857068-5380@rci.rogers.com
f830f9fd-32be-4cca-97d3-4f17be2b8500,u1550779127SRT-5522344557-1025@rci.rogers.com
da9c8a46-3406-4d59-b60a-54c70cb532e6,u1552927903SRT-7417421967-4788@rci.rogers.com
f806f78e-b735-465e-82b9-7e680ea0d052,u1553183063SRT-7912845395-9215@rci.rogers.com
e7b35316-054e-44d8-932f-67eac06c9201,u1552924480SRT-7347613852-1501@rci.rogers.com
8e729e90-094d-4bb9-aed3-050fa03da177,u1553183382SRT-5623112711-5778@rci.rogers.com
58fc433a-8a69-487c-849b-fd7480c87ca2,u1552934940SRT-5680625171-4672@rci.rogers.com
9145a352-0717-4dff-ae59-09ee1f3c8f35,u1553615801SRT-6984672816-9918@rci.rogers.com
b09ab925-dec3-4ec5-a366-9359b30f490a,u1552924433SRT-8041074714-2464@rci.rogers.com
c5752254-df55-4d36-8a71-5e3d8379cce0,u1553025074SRT-8529902498-4039@rci.rogers.com
c2a5af6f-ea8e-4482-ac12-95816145b8eb,linkedd01@demo.com
6f77c2fe-5780-45fc-910d-dac462e90011,u1552927619SRT-3136633957-5623@rci.rogers.com
8c363b0b-1689-4343-a0aa-667e194efc4f,u1550779783SRT-5919393763-6424@rci.rogers.com
15de692e-f7ea-4d77-a76d-d585781c2711,u1550779161SRT-1368269858-5073@rci.rogers.com
81007f42-3a52-416c-92b3-69309c90cf4e,u1553183063SRT-7912845395-8754@rci.rogers.com
743f9842-dbbf-48ba-8af0-3bed7e37597b,u1553528120SRT-5473607681-2170@rci.rogers.com
d3c0f596-78d0-4832-9d1e-d7ec5970a64e,u1553105659SRT-7348063649-5376@rci.rogers.com
2149d594-6a88-44fe-8f44-747559f97823,u1553105662SRT-4753912666-2543@rci.rogers.com
d0f763a3-168a-4054-bf33-d958fdaf856b,u1550778834SRT-6940659065-1048@rci.rogers.com
275f6129-12d0-48c5-9397-2191850e1832,u1550779224SRT-9418897142-3668@rci.rogers.com
efa99c47-f3e3-4d88-9331-ab24e5c3e5fc,u1553105665SRT-5109502377-5399@rci.rogers.com
bcf14065-6897-42dd-bc86-2e1c75a060ed,u1553106127SRT-7922742464-8042@rci.rogers.com
3dbec63e-56b2-490e-a02d-64f67c0618a6,demo_3dbec63e-56b2-490e-a02d-64f67c0618a6@demo.com
e055b127-0842-4b01-9602-c512256756b7,u1552933750SRT-1790434426-6004@rci.rogers.com
3c304ceb-2b9e-44d7-8d1d-30a80542c761,u1553104904SRT-6252855401-5597@rci.rogers.com
81ce8f8e-dabe-4af2-b197-a429790d6ef3,u1552924553SRT-6156836515-8096@rci.rogers.com
b85ddb03-9288-4f60-83d6-206b0b3306f7,u1553183063SRT-7912845395-2364@rci.rogers.com
b8b3fd51-0654-49d7-b97a-e87b238ce2ee,u1553104378SRT-9718910077-4334@rci.rogers.com
8fcaee1b-3298-419c-adb8-65dda870ba49,u1553539770SRT-7822293226-4422@rci.rogers.com
3ba8b74f-a4ec-4e43-b991-d6200b0184bd,u1553110773SRT-4677137199-8840@rci.rogers.com
89638b9e-1a22-440d-98ac-e9e7978e12a5,u1552924799SRT-9729614160-9362@rci.rogers.com
51a0adce-802e-4399-8724-5f0068ef8693,u1553528007SRT-9946298894-1941@rci.rogers.com
d3000e34-c2fe-4a2e-a456-6ebcdf627f74,u1552924421SRT-2600126474-1159@rci.rogers.com
cfd0a6ec-253d-48ea-a52b-d1a0f1ef36f4,u1553625331SRT-4457652471-7428@rci.rogers.com
bd080ba1-dbdd-4919-ab6e-3d7f50cb10b8,u1553105592SRT-2660726020-3879@rci.rogers.com
f1bc2627-9a15-4954-a20b-82bfc015795f,u1550778720SRT-3258967389-7956@rci.rogers.com
8430c508-68fe-43dd-bdbc-213e8ef4a224,u1553628606SRT-4259548090-2676@rci.rogers.com
1e85f851-2b88-4170-8142-1d639305676e,u1553110735SRT-6267999129-4551@rci.rogers.com
3192a321-55bf-41d8-a4f7-2059f8ab036b,u1550778838SRT-1031093526-7349@rci.rogers.com
7df600a4-ebc2-42f1-b6c7-cfb35150f54e,newuser111333@demo.com
cd49294f-e1d8-4842-b2be-2072c671aab7,yanJ01@demo.com
93b0cec9-aa9e-4e65-bc01-eee32406b053,u1550779159SRT-7785081678-8939@rci.rogers.com
ab95b1bd-9345-48e8-88d9-a7f9098ed9e0,u1550779121SRT-3331749025-5365@rci.rogers.com
2693936e-81d3-49c8-a9c0-518c843cae30,u1553628679SRT-9874908882-4486@rci.rogers.com
c6bca90d-bf76-4069-94b0-24a91ebc20f5,u1550779529SRT-6380628379-7806@rci.rogers.com
57d329ed-eb4f-421b-9ee8-dbf66ee8a381,u1552925189SRT-4810031089-1092@rci.rogers.com
abd6fafe-02ed-4708-b1b7-2bc5e2d59d25,u1550779163SRT-7400590984-7152@rci.rogers.com
abdd4b33-c961-41fd-8242-f70e8f664c1a,u1553094393SRT-8904579480-9499@rci.rogers.com
96b77f81-f28a-4f11-8ee1-77ad7bb0537e,u1552934128SRT-7761683083-9405@rci.rogers.com
c65d88e1-cee4-4ac0-bbbe-16b28bf24d27,u1550779416SRT-2157334858-3657@rci.rogers.com
4ca47e15-ad1b-486f-b24a-b136e48c55db,u1550779529SRT-6380628379-5622@rci.rogers.com
2ce36e38-4dd6-4d9a-812a-db9fa56dffb5,u1553024244VSS-3752130206-9871@rci.rogers.com
959471f5-fbe8-4ebc-b38f-f7c1a78bdf35,u1550779986SRT-5859962908-6456@rci.rogers.com
18f69d2f-cbea-4917-a3b1-a776ec6b0d95,demo_18f69d2f-cbea-4917-a3b1-a776ec6b0d95@demo.com
68d6e2e3-4371-4bd8-bb87-05762e2a875e,yansn+stg@gmail.com
3defaf23-a8dc-44c4-a12d-ca2c7e8f1127,u1553102736SRT-6197662707-7517@rci.rogers.com
6d3dce49-481e-4615-adff-c5c1184c460a,u1550779591SRT-2713058808-7051@rci.rogers.com
101ed159-a6ae-448a-9a98-b0c05ca2eb04,u1553023458SRT-2371528956-8589@rci.rogers.com
079b20ce-004d-4d87-8f7a-04469fb7359f,u1553631521SRT-9590306390-1922@rci.rogers.com
6cbbf697-22f1-47c4-85d1-75aa2ab22e08,u1550779529SRT-6380628379-4694@rci.rogers.com
721c595f-4723-4461-8f52-9435b34a9ff1,u1552934172SRT-6670071817-6425@rci.rogers.com
b61ab76d-cb5f-4686-92da-be3513f5424b,loc-stage-test-changed10@gmail.com
aab8504a-46dc-42c0-83f8-93e1fe120d15,u1550778793SRT-3692709297-6109@rci.rogers.com
01b97291-83c8-46ff-a98d-e4dfe59b6f5b,u1553104905SRT-6979174697-6675@rci.rogers.com
825086fe-d8ca-4027-862f-991aab6703d5,u1553102737SRT-8826579107-7352@rci.rogers.com
f78a9284-9a3f-4f7d-be40-45dee654d808,u1553023551SRT-5700080139-3002@rci.rogers.com
f522e245-b086-4567-acba-36475b06f12a,newuser1113@demo.com
68327319-715e-40ee-b01f-4f320fe68fbd,abcd@gmail.com
582a0af9-c0d9-499a-9309-56ba4e0cbb66,u1552934132SRT-7831893198-1514@rci.rogers.com
3bf1e52e-6d87-4917-989f-c5cd5fe3cc62,aaaa@qr.com
0d8a6cfc-9d0c-4c20-9ac1-0cd32667990e,u1550779115SRT-3450532997-9899@rci.rogers.com
24d30d47-001e-45ee-9557-91a1cd218855,u1553024530SRT-9104199419-9642@rci.rogers.com
ce5fbca2-0cbc-469c-aa2a-215218b1bc5f,u1550779972SRT-7530204888-8474@rci.rogers.com
5285587b-735d-449a-86b8-db206c960d7c,u1550779494SRT-4415263897-6459@rci.rogers.com
df8befc6-5136-48d3-a27a-21733ef38c5f,u1553528007SRT-9946298894-3185@rci.rogers.com
c83a98a9-a671-4868-9ed8-3415cf3eb772,u1550779420SRT-5222712999-4840@rci.rogers.com
c97c87dc-a0b7-45fa-b645-5efc676632a3,abc13@gmail.com
cfcb1c05-554c-4cdf-ae1b-0ddc80547f3c,u1552924566SRT-1540739763-4490@rci.rogers.com
a8b53a72-650f-435f-96d1-eb74fd0abd34,u1553615655SRT-1043461271-7432@rci.rogers.com
d200661c-b0cf-4eac-bd97-43506ef94ac7,u1550779130SRT-9273930874-1583@rci.rogers.com
00f41bf7-a478-4cb7-b159-4ab6fa114c08,u1552923499SRT-5048737550-8612@rci.rogers.com
ce2f3615-597b-40ac-808a-dd3821df8176,u1550779591SRT-2713058808-9019@rci.rogers.com
8f62b368-4c58-42af-9765-8462be5e58e1,u1552934172SRT-8746700014-5679@rci.rogers.com
8e598847-6ba2-41ab-a346-5d8855dfbd13,u1553023424SRT-3192329685-6219@rci.rogers.com
d47fd768-5599-44c9-973a-6fc36218691b,abc@pqr.com
b4524f1f-1513-40e6-be7d-6bef0e23aaf9,u1553628679SRT-7839897341-3311@rci.rogers.com
6665ad03-44cb-4ae0-a777-1b098f9225a8,u1553528118SRT-9158441167-9728@rci.rogers.com
4e3ffb38-69b2-4dad-8c3d-9f1cdecccc69,u1553545437SRT-7112684043-4628@rci.rogers.com
63399cc8-000b-4571-897c-04e4b4f40421,u1550779529SRT-6380628379-6556@rci.rogers.com
9e38c27f-a802-43bf-8aa1-1261fa0dacb3,u1553023167SRT-3500021558-1268@rci.rogers.com
b9009658-3be5-40c6-8319-7d1350037094,u1550779165SRT-8322418665-4788@rci.rogers.com
189880f3-1f0f-4de0-8b30-3e8eada52975,u1553545497SRT-7958252521-1023@rci.rogers.com
113c0b3f-9fa0-4dfd-967a-a7f815a78bae,u1552927383SRT-8217487340-9261@rci.rogers.com
92cc51e0-8a1e-4155-bd85-343a95ebece2,u1552934132SRT-7831893198-3377@rci.rogers.com
fe2be7a5-d28a-4059-9ac6-59d3efcff172,u1550779591SRT-2713058808-7109@rci.rogers.com
943f566a-4467-4905-887f-24cfd6647796,u1553528120SRT-5473607681-1362@rci.rogers.com
8c062d79-5b33-421c-86f6-4bc970fb806c,abc12@gmail.com
d266d040-7e71-4e84-8efe-d2dc091f662d,u1553104951SRT-5167420021-7999@rci.rogers.com
1ddd8b5e-e285-43dc-a276-0dd489c30ae9,u1550779412SRT-6304777963-9120@rci.rogers.com
889fef17-05bf-42d3-b9e2-568a8ccf18ea,u1550779591SRT-2713058808-1708@rci.rogers.com
d470bbf5-046d-46a6-a4e7-50b8eacf46fb,u1553023425SRT-3590857876-9188@rci.rogers.com
bef523ae-08fa-40b3-a55e-c9d8cbaf7da8,u1555944111SRT-2829592456-5425@rci.rogers.com
9a383411-232b-4baf-9e7f-e6948f2455d6,u1550779108SRT-5323793255-6722@rci.rogers.com
374258f6-2ef8-4da0-90d7-a53b650069ef,demo_374258f6-2ef8-4da0-90d7-a53b650069ef@demo.com
abc0f76a-2dde-4e18-9d7e-4afacf0fb00b,u1550265401SRT-7853058655@rci.rogers.com
2ba8e57e-216a-4d66-a653-ad4860cbe17c,demo_2ba8e57e-216a-4d66-a653-ad4860cbe17c@demo.com
3aa2f1ae-3216-4f28-9d29-685ed540145f,u1550258421SRT-1825783531@rci.rogers.com
6d8a89f1-201e-43af-9f3f-0e4f793e7e3b,u1550632306SRT-8009571589-2011@rci.rogers.com
a7d34998-7e6e-4ae2-b1f1-2e1f03dea37f,u1550673860SRT-8170824695@rci.rogers.com
7573b850-3160-48d4-94b5-e7872d609bb3,u1550696351SRT-8039477121-8435@rci.rogers.com
ab9006af-5190-49cc-a28a-cf23f36988b5,u1550611854SRT-7134985909-9844@rci.rogers.com
068ee947-7af6-41b2-9330-546748728694,u1550599600SRT-6407221545@rci.rogers.com
3e016f3b-f69c-436b-b4b5-7d466fda2b40,u1550635383SRT-8576013198-9159@rci.rogers.com
9955789f-23c4-4317-97ee-6323bbb24b18,u1550672290SRT-1666506728-2212@rci.rogers.com
4c920d2d-caff-43a6-ac34-55c509f81adc,u1550677702SRT-5800183000@rci.rogers.com
18573fc5-e7f1-4450-bf23-bcbba095bb12,u1550598915SRT-9384481668@rci.rogers.com
919ae79a-0723-40ec-aff4-4b4265c5f638,u1550606277SRT-3306155667@rci.rogers.com
789b0eda-44e3-4439-be55-abf2f1bce948,u1550677702SRT-4642782029@rci.rogers.com
3bc5509c-4350-48ac-b3d8-44db85fb7e86,u1550613125SRT-7476437156-8126@rci.rogers.com
9c96f8a6-c5da-459d-a567-ffc401f96d99,u1550697947SRT-1684415874-9407@rci.rogers.com
bb239ff6-d166-48df-96fc-eca86b23fa38,u1550632307SRT-8009571589-5960@rci.rogers.com
073421e0-2e1e-4dad-9693-8f034e7cc03c,u1550600725SRT-5204880025@rci.rogers.com
01fa72ed-bddc-479b-9793-0891f460eec7,u1550600278SRT-5984498787@rci.rogers.com
543839b2-e010-4065-a7a0-c2a9fe50abba,u1550608820SRT-3049611150@rci.rogers.com
3c8ed9b8-6b96-46df-8c7c-27b36ae51b57,u1550674352SRT-2008213274@rci.rogers.com
afa7e5b7-22ee-4c6f-a384-7a13fc02a633,u1544734910@rci.rogers.com
584e2c13-467c-4246-9ec6-31a967abd64e,u1575910005SRT-6870202698-5384@rci.rogers.com
f6cd7cc5-98c2-485a-9a7b-dcf1d3f0e4e8,u1542313592@rci.rogers.com
e5897d7f-213d-49ca-9c98-fca601caf8f6,u1542312182@rci.rogers.com
a572315b-e0ac-40d5-ab6e-c3851fba9691,u1542130169@rci.rogers.com
f0c30512-82c4-48ef-a16b-4ecc3619c0da,u1542129181@rci.rogers.com
2cd6859c-d9f6-4068-bfb1-7a65d8fe0bf6,u1542130168@rci.rogers.com
a572315b-e0ac-40d5-ab6e-c3851fba9691,u1542130169@rci.rogers.com
8eceb7bf-04dc-49da-80dc-ddfbe735663d,u1547834998SRT-5155015691@rci.rogers.com
2e6f7883-0a30-4f81-b09d-1e0fddf6a8ab,link001@demo.com
20c72013-d22b-4e5f-8b7d-99f207b13e70,u1555521861SRT-3745905389-3502@rci.rogers.com
39e46a50-b806-4a93-ac89-3115fa7280ae,u1555521971SRT-8404952335-1364@rci.rogers.com
78c7d9f3-d67b-4f43-bae9-358f588398c8,u1555522587SRT-3605556305-6965@rci.rogers.com
bc42ed3a-d4be-4cbc-9da2-55080b5aa05d,u1555523118SRT-7084786625-9303@rci.rogers.com
f6e003d4-9387-447f-a36a-c439e2889178,u1555523444VSS-3151794711-2306@rci.rogers.com
1d1beb3d-d80b-4306-9dec-66d6be5f2329,u1555524154SRT-6720120134-5687@rci.rogers.com
dfc24c3b-2bcd-409b-9cec-e8415e9ab2db,u1555526266SRT-8386331481-3096@rci.rogers.com
cdcfcad5-f482-4369-bf28-02e2f90cc91c,u1555527177SRT-2025750305-8624@rci.rogers.com
c1978b2d-8ead-42a6-b92a-a806289400cf,u1555527654SRT-6870513943-3660@rci.rogers.com
377e44c1-802e-45d9-9177-72dd23f4618c,u1555529645SRT-7219718493-4702@rci.rogers.com
064b6227-8cdd-47c0-8de1-5881dbfe8ff4,u1555530443SRT-2584634726-8682@rci.rogers.com
dde56e7a-0ea8-47d9-b5c2-8b204ef2ba7b,u1555531329SRT-9657195210-3347@rci.rogers.com
dd5c4d98-8cf9-4e3c-8991-e8d2073acdd6,u1555533855SRT-3992507341-1471@rci.rogers.com
5ce54065-e98f-4511-bcc4-b9a2c7b7ebd9,u1555534164SRT-1170045411-2648@rci.rogers.com
9cf9c714-1bba-4fbf-8c9e-55680686aea1,u1555534836SRT-8971133548-1281@rci.rogers.com
7f819770-7cf6-46f2-a848-2198713f3077,u1555536067SRT-3242790852-2901@rci.rogers.com
7df5a746-178a-4edc-8ea5-51b2365568eb,u1555536706VSS-2768130669-1931@rci.rogers.com
2b3f313f-80de-46ce-ab88-f0154d814d62,u1555594708SRT-7838878600-1109@rci.rogers.com
cb6a2a75-4f6e-4664-825d-e35db5ddcdfd,u1555597085SRT-3279382790-5850@rci.rogers.com
df141d2e-53d5-4928-b656-cf327af3eccd,u1555947829SRT-2995750426-2520@rci.rogers.com
12ed8546-c209-4615-9a1b-706a724262a7,u1555948644SRT-4908320738-8426@rci.rogers.com
e9035bc6-fbb0-40fd-9541-d7dcca714b37,u1555949484SRT-1052976260-5310@rci.rogers.com
2fcc9b51-04db-4f98-996a-eb681b825ddb,stg-test-20190422-04@rogers.com
9b4060e9-cd52-4fc0-9256-51acc07fea96,u1555960489SRT-2471499444-7048@rci.rogers.com
69489e19-0eff-4ff3-a1cd-f4741f3efdfd,stg-test-20190422-05@rogers.com
d369527a-b24c-4606-9ae3-d9af683ace17,stg-test-20190422-06@rogers.com
1e10b731-b622-4375-bf71-759bf236c77c,stg-test-20190422-07@rogers.com
e8a5e67a-2f73-4263-ad57-f61124706af8,stg-test-20190422-09@rogers.com
dcef6745-1e4e-4c8a-b0f7-f4fba43acb9e,iosapr26@snnow.ca
f69b46d8-4392-4fbb-aef2-beb095e80a3c,u1558636220IUA-5998927180-8785@rci.rogers.com
aa176577-74ff-4ea7-b81a-9bac3ddaf1b8,existing4@snnow.ca
1633e846-1075-4430-8254-233d15d6a0a7,u1559836180IUA-4298953317-3040@rci.rogers.com
19ca4771-0435-4b91-a917-a76cf5c5f87f,u1558638976IUA-4548782108-2636@rci.rogers.com
992ca561-c5dd-4736-a3f5-b75a1ab45388,u1558639639IUA-9158142308-8573@rci.rogers.com
965fa09a-7792-4ee0-ac65-4b83331edf19,linkme9000@demo.com
ab4d40a3-91e8-4571-8017-d9df954e44c6,link0009@demo.com
b95d2f43-fa85-4f55-a260-b93dc9379991,u1559828365SRT-1632075719-5863@rci.rogers.com
08456753-51e7-4785-ae12-8ec5e667c3d1,lim909@demo.com
fd35b6e6-fb60-48f4-83e7-95b6533da7b3,linkp@demo.com
0832a38a-1e1a-45ad-bcf4-e2a56906f93d,u1562948388SRT-2646079954-1317@rci.rogers.com
75e5f76e-e2bc-4177-bca0-8fa35f551d6f,u1562948654SRT-9966710066-8530@rci.rogers.com
5fe55854-6cec-4c00-8193-1dacc11f5792,u1563210665SRT-7388912351-1998@rci.rogers.com
d68c24d4-5ff8-4147-ba21-2586205a36bd,AB_redeem_Giftover_UP_upgrade@gmail.com
2a380616-ffc3-42fd-ba4a-8337c69002a3,AP_redeem_cancelviaportal@gmail.com
e1788988-0261-4881-87fc-9463aa3189d0,jeriel.garcia+ptest05@gmail.com
d5fee4d0-e4b5-4066-bb07-ef657b5ec889,aa67f228ecd14@demo.com
6bc4cb3b-ef71-462c-ad7f-1772f3e506dc,jeriel.garcia+pause@gmail.com
9279d48f-6a71-46fa-a700-5934390ba2ba,711e323000@demo.com
201f0cdc-4905-4985-9073-fad4340eab5e,gift02@demo.com
b4e460a8-0e85-49de-a466-48f2d0c2ac84,dtc2387@test1.com
a916fed1-1e7e-470f-b6f4-5fca68fbceb0,diquaassurance+EU_27_redeem6M_NQ@gmail.com
d26265e3-7274-44f9-90e7-d483fe62afe5,gift432@demo.com
1fa95331-c133-4ecb-a7f1-70b6f00062e3,diquaassurance+giftee4@gmail.com
5fbf0ce7-f51c-436c-aa0f-d5a8f3c4ad27,FAtest@gmail.com
d8ebe090-af3c-41b4-8c64-fad7bca7e85a,weekly_redeem_cancelnorefund_beforegiftET@gmail.com
882333ac-f9bf-4c2a-96aa-681ac12a4c70,721123b9af4304f15d9518dad791a@demo.com
314e6206-554c-435b-8a05-290dd5018818,3d124c9296d5720b1f1d3020bb8ac0a8fbf70f38@demo.com
ade49c5f-59c1-4aa9-b352-5d6c1b3c25ed,ap_redeem_CNR@gmail.com
b2623cef-a937-4daf-897d-4d42eefac799,diquaassurance+27_renew_bad_redeem_fixcc@gmail.com
8501f83c-35c7-40d3-b79b-217cd1e52b76,d4f18449@demo.com
9c8b60a7-dda3-45f3-8478-59774bfb5849,diquaassurance+EU_weekly_redeem6M_QB1@gmail.com
6ad7ce4f-58e9-4fa4-8f58-acd678fafd51,jeriel.garcia+june05@gmail.com
f324267f-477d-4ca6-9514-0ba70ee9398f,diquaassurance+EU_19_redeem12M_NQ@gmail.com
bdddd4ac-8566-44fd-9b8d-2a7bb54e4bcb,AB_redeem_cancelnorefund_beforegiftET@gmail.com
6ef29a14-be5b-4d70-a1b2-d5143fd10c95,aaa67f228ecd14@demo.com
562f8477-2700-407e-885f-a240af0f1c45,AB_gift_CNR@gmail.com
bd44345c-1228-4b70-90df-d2880b414ecd,annual_doublecancel_redeem@gmail.com
93b5c9da-3cc4-40f8-ba8b-b907879e4ab1,rdeem6month@gmail.com
82786d70-3a17-4d77-ad12-0550a43d766e,1e323000@demo.com
dabb5720-2fbe-4e0a-8c07-3cfeec0ee8e6,gift424@demo.com
2238e145-dd6f-4498-a032-477f17b80891,7141e0736df0026@demo.com
70073161-346f-4728-b96d-94983b228693,67f228ecd14@demo.com
de630a70-76e4-4481-945b-568740dbd6a6,demo_de630a70-76e4-4481-945b-568740dbd6a6@demo.com
4dd346c4-9b5c-41e3-889c-7dd94f97372b,demo_4dd346c4-9b5c-41e3-889c-7dd94f97372b@demo.com
0c544ebe-cdde-4638-9827-301d215711ec,demo_0c544ebe-cdde-4638-9827-301d215711ec@demo.com
65ee03d6-2368-48b1-9992-b47dd80310cf,upgrade_Premium_annual@gmail.com
4ea5c300-3234-4069-875a-22971f0f9149,dtc2387@test4.com
15e08ea3-9564-4576-9fd2-9bfbbb97390a,jerielg.garcia+ptest04@gmail.com
c89dd445-5028-4592-896c-23292af5f6c0,jeriel.garcia+annual01@gmail.com
090e7b1f-3abf-4eac-88d6-cad10cb149c3,AP_gift_CNR@gmail.com
9194c373-4157-4dbd-980f-f61f2c9eac8d,dtc2387@test6.com
36ab64f1-6d13-4ab9-85ee-6203409de443,b059982074d2c@demo.com
405104b3-5d7a-42d7-bc69-527099fa8129,giftee02@demo.com
7207a76e-42c7-417f-a3e2-0b6566c4909a,7f228ecd14@demo.com
44fa0249-b3d2-4f7f-a0b1-aa9fc48db7d1,diquaassurance+month_annualgift_dg@gmail.com
